title,day_posted,link,price,location,condition,fuel,odometer,title_status,transmission,type,size
1993 Honda Accord,Nov 16,https://newyork.craigslist.org/stn/cto/d/staten-island-1993-honda-accord/7231819116.html,"$2,000", (Staten Island),fair,gas,60000,salvage,automatic,sedan,mid-size
Nissan Quest 2005,Nov 15,https://newyork.craigslist.org/brk/cto/d/brooklyn-nissan-quest-2005/7231690945.html,"$1,600", (All New York),,gas,,clean,other,,
Honda Odyssey 07,Nov 15,https://newyork.craigslist.org/brk/cto/d/brooklyn-honda-odyssey-07/7231585043.html,"$1,000", (Brooklyn),,gas,,clean,automatic,,
"$2000, 93.000 miles. FORD FOCUS",Nov 15,https://newyork.craigslist.org/lgi/cto/d/carle-place-miles-ford-focus/7231510245.html,"$2,000","
pic
",,gas,,clean,automatic,,
2006 Nissan Altima,Nov 15,https://newyork.craigslist.org/brx/cto/d/staten-island-2006-nissan-altima/7231308524.html,"$1,900","
pic
",fair,gas,,clean,automatic,sedan,compact
Car For Sale,Nov 15,https://newyork.craigslist.org/lgi/cto/d/north-babylon-car-for-sale/7231441982.html,"$1,600", (North Babylon),good,gas,120654,clean,manual,sedan,compact
New Beetle,Nov 15,https://newyork.craigslist.org/fct/cto/d/fairfield-new-beetle/7231099486.html,"$2,000", (Fairfield),excellent,gas,200000,clean,manual,other,compact
2001 mercury mountaineer with leather,Nov 15,https://newyork.craigslist.org/lgi/cto/d/elmont-2001-mercury-mountaineer-with/7231427233.html,"$1,500", (Elmont),,gas,,clean,automatic,,
1987 Chevy Nova LOW MILES runs and drives!,Nov 15,https://newyork.craigslist.org/que/cto/d/long-island-city-1987-chevy-nova-low/7231336898.html,"$1,950", (Long Island City),good,gas,90000,clean,automatic,sedan,
Lincoln Town Car,Nov 15,https://newyork.craigslist.org/lgi/cto/d/sea-cliff-lincoln-town-car/7231326572.html,"$2,000", (Glen cove),good,gas,119000,clean,automatic,,
1995 Ford F150 4x4 Regular Cab,Nov 15,https://newyork.craigslist.org/lgi/cto/d/middle-island-1995-ford-f150-4x4/7231296494.html,"$1,150", (Middle Island),fair,gas,136874,clean,automatic,truck,full-size
2006 ford focus,Nov 15,https://newyork.craigslist.org/mnh/cto/d/brooklyn-2006-ford-focus/7231250666.html,"$1,900", (Midtown),new,gas,120,clean,manual,sedan,compact
2002 Subaru WRX Raly Car,Nov 15,https://newyork.craigslist.org/wch/cto/d/long-beach-2002-subaru-wrx-raly-car/7231227277.html,"$1,400","
pic
",,gas,195000,missing,manual,,
2005 Chrysler 300c HeMi 107k miles 1 Owner Clean CarFax,Nov 15,https://newyork.craigslist.org/brk/cto/d/brooklyn-2005-chrysler-300c-hemi-107k/7231226838.html,"$2,000", (Brooklyn),,gas,,clean,automatic,,
2000 dodge caravan,Nov 14,https://newyork.craigslist.org/brk/cto/d/brooklyn-2000-dodge-caravan/7231172703.html,"$1,000", (Dyker heights),excellent,gas,61000,clean,automatic,mini-van,full-size
2002 ACURA MDX Red 185K Miles AS IS - Running -  Need Work,Nov 14,https://newyork.craigslist.org/que/cto/d/fresh-meadows-2002-acura-mdx-red-185k/7231141222.html,"$1,200", (fresh meadows),fair,gas,185000,clean,automatic,SUV,mid-size
2000 Honda Accord  Price firm,Nov 14,https://newyork.craigslist.org/que/cto/d/brooklyn-2000-honda-accord-price-firm/7231139463.html,"$1,790", (Brooklyn),fair,gas,,clean,automatic,,
2002 Chevy Trailblazer,Nov 14,https://newyork.craigslist.org/lgi/cto/d/north-babylon-2002-chevy-trailblazer/7231069929.html,"$1,100", (North Babylon),good,gas,,clean,automatic,,
I BUY CARS CASH PAID ON SPOT,Nov 14,https://newyork.craigslist.org/brk/cto/d/brooklyn-buy-cars-cash-paid-on-spot/7230954041.html,"$2,000", (9176028558),,gas,,clean,automatic,,
SELL YOUR CAR TODAY FOR CASH ON THE SPOT,Nov 14,https://newyork.craigslist.org/brk/cto/d/brooklyn-sell-your-car-today-for-cash/7230943353.html,"$1,000","
pic
",,gas,,clean,other,,
Honda civic,Nov 13,https://newyork.craigslist.org/brx/cto/d/bronx-honda-civic/7230604853.html,"$1,850", (Bronx),good,gas,146000,clean,other,sedan,
Buying all junk cars top price paid guaranteed,Nov 13,https://newyork.craigslist.org/brk/cto/d/brooklyn-buying-all-junk-cars-top-price/7230555549.html,"$1,000", (Long Island city),excellent,gas,85000,clean,automatic,coupe,mid-size
🚗🛠️Audi A4 Quattro 2006 2.0 Turbo Needs Work,Nov 13,https://newyork.craigslist.org/stn/cto/d/staten-island-audi-a4-quattro-turbo/7230540249.html,"$1,200", (Rosebank),fair,gas,138000,clean,automatic,sedan,mid-size
2000 JEEP CHEROKEE CLASSIC,Nov 13,https://newyork.craigslist.org/brk/cto/d/brooklyn-2000-jeep-cherokee-classic/7230494350.html,"$1,050", (Greenpoint / Brooklyn),,gas,168157,clean,automatic,SUV,compact
2007 dodge caravans special edition fully loaden,Nov 13,https://newyork.craigslist.org/stn/cto/d/staten-island-2007-dodge-caravans/7230485272.html,"$1,999","
pic
",,gas,,clean,automatic,,
I BUY CARS/TRUCKS/VANS,Nov 13,https://newyork.craigslist.org/brk/cto/d/flushing-buy-cars-trucks-vans/7230478685.html,"$1,000","
pic
",,other,,clean,other,,
I BUY CARS/TRUCKS/VANS,Nov 13,https://newyork.craigslist.org/que/cto/d/flushing-buy-cars-trucks-vans/7230466059.html,"$1,000","
pic
",,gas,,clean,other,,
"Mitsubishi, Eclipse GT 2.4L",Nov 13,https://newyork.craigslist.org/que/cto/d/astoria-mitsubishi-eclipse-gt-24l/7230422587.html,"$1,200"," (Queens, NY)",fair,gas,193000,clean,automatic,coupe,
Bmw 535 2010 xdrive selling as is,Nov 13,https://newyork.craigslist.org/brk/cto/d/brooklyn-bmw-xdrive-selling-as-is/7230369507.html,"$1,800", (Newyork city),good,gas,150000,clean,automatic,,
"Mazda protege 2002 , 5 speed manual",Nov 13,https://newyork.craigslist.org/que/cto/d/flushing-mazda-protege-speed-manual/7230274667.html,"$1,200", (Forest hills),good,gas,165000,clean,manual,sedan,compact
SELL YOUR CAR TODAY FOR CASH ON THE SPOT,Nov 13,https://newyork.craigslist.org/brk/cto/d/brooklyn-sell-your-car-today-for-cash/7230223481.html,"$1,000","
pic
",,gas,,clean,automatic,,
1999 Suburban 4WD 6.5 turbo diesel,Nov 13,https://newyork.craigslist.org/wch/cto/d/katonah-1999-suburban-4wd-65-turbo/7230119806.html,"$2,000", (Katonah),fair,diesel,,clean,automatic,SUV,full-size
99 Chevy Venture,Nov 12,https://newyork.craigslist.org/lgi/cto/d/holtsville-99-chevy-venture/7230094446.html,"$1,200", (FARMINGVILLE),good,gas,,clean,automatic,SUV,full-size
2012 Chysler 200 2.5,Nov 12,https://newyork.craigslist.org/brx/cto/d/bronx-2012-chysler/7230044276.html,"$1,995", (Bronx),excellent,gas,201452,clean,automatic,sedan,mid-size
SELL YOUR CAR TODAY FOR CASH ON THE SPOT,Nov 12,https://newyork.craigslist.org/brk/cto/d/brooklyn-sell-your-car-today-for-cash/7230013625.html,"$1,000","
pic
",,gas,,clean,automatic,,
Sell Your car truck van in any condition,Nov 12,https://newyork.craigslist.org/brk/cto/d/brooklyn-sell-your-car-truck-van-in-any/7229854589.html,"$1,000", (All $200 too $10000 Cash),,gas,,clean,automatic,,
2014 Toyota Camry Hybrid,Nov 12,https://newyork.craigslist.org/que/cto/d/long-island-city-2014-toyota-camry/7229837021.html,"$1,950", (Long Island City),,hybrid,,clean,automatic,,
"Honda Pilot 2005, by owner 125k miles cosmetic damage, beater but Reliable",Nov 12,https://newyork.craigslist.org/brk/cto/d/brooklyn-honda-pilot-2005-by-owner-125k/7229785327.html,"$1,700"," (Bushwick, Brooklyn)",fair,gas,125000,clean,automatic,SUV,mid-size
"2007 NISSAN Quest,  7passengers!",Nov 12,https://newyork.craigslist.org/brx/cto/d/2007-nissan-quest-7passengers/7229752788.html,"$1,800", (Bronx.),excellent,gas,140,clean,automatic,,
I Buy Cars And Trucks,Nov 12,https://newyork.craigslist.org/brk/cto/d/brooklyn-buy-cars-and-trucks/7229718334.html,"$2,000", (Brooklyn),,gas,,clean,automatic,,
2005 Nissan Quest,Nov 11,https://newyork.craigslist.org/brk/cto/d/brooklyn-2005-nissan-quest/7229520240.html,"$1,800","
pic
",,gas,,clean,other,,
VW BUG  Roller,Nov 11,https://newyork.craigslist.org/que/cto/d/elmhurst-vw-bug-roller/7229283856.html,"$2,000", (Elmhurst),fair,gas,,missing,manual,sedan,compact
2002 Honda Civic LX 122K/miles,Nov 11,https://newyork.craigslist.org/lgi/cto/d/west-hempstead-2002-honda-civic-lx-122k/7229209948.html,"$1,950"," (Queens, Long Island)",,gas,,clean,automatic,,
Cash For Unwanted Cars,Nov 11,https://newyork.craigslist.org/brk/cto/d/brooklyn-cash-for-unwanted-cars/7229085261.html,"$1,000","
pic
",,gas,,clean,automatic,,
1999 Dodge1500 Van,Nov 11,https://newyork.craigslist.org/que/cto/d/arverne-1999-dodge1500-van/7229059509.html,"$1,500","
pic
",good,gas,95000,clean,automatic,van,full-size
We BUY YOUR CAR CALL 917-690-3730,Nov 11,https://newyork.craigslist.org/brk/cto/d/brooklyn-we-buy-your-car-call/7228979667.html,"$1,000", (Brooklyn),new,gas,100000,clean,automatic,,full-size
We BUY YOUR CAR CALL 917-690-3730,Nov 11,https://newyork.craigslist.org/brk/cto/d/brooklyn-we-buy-your-car-call/7228979545.html,"$1,000", (Brooklyn),new,gas,100000,clean,automatic,,full-size
We BUY YOUR CAR CALL 917-690-3730,Nov 11,https://newyork.craigslist.org/brk/cto/d/brooklyn-we-buy-your-car-call/7228978856.html,"$1,000", (Brooklyn),new,gas,100000,clean,automatic,,full-size
1999 Subaru Forester S,Nov 11,https://newyork.craigslist.org/lgi/cto/d/staten-island-1999-subaru-forester/7228960008.html,"$2,000", (BEST OFFER TAKES IT. (347)372-4289),good,gas,150,clean,automatic,wagon,full-size
"2007 NISSAN ALTIMA, EXCELLENT!",Nov 10,https://newyork.craigslist.org/brx/cto/d/bronx-2007-nissan-altima-excellent/7228929160.html,"$1,795", (Bronx),excellent,gas,,clean,automatic,,
1958 Mercedes Benz 219 Pontoon sedan,Nov 10,https://newyork.craigslist.org/fct/cto/d/new-milford-1958-mercedes-benz-219/7228925376.html,"$1,200", (New Milford ct),fair,gas,,clean,manual,,
Beautiful car in EXCELLENT condition. Lexus 2010 RX 350,Nov 10,https://newyork.craigslist.org/fct/cto/d/stamford-beautiful-car-in-excellent/7228925166.html,"$1,550", (Stamford),excellent,gas,,clean,automatic,SUV,
AUDI A4  Turbo PROJECT CAR!,Nov 10,https://newyork.craigslist.org/brk/cto/d/brooklyn-audi-a4-turbo-project-car/7228891879.html,"$1,200","
pic
",fair,gas,,clean,automatic,sedan,
2004 NISSAN SENTRA 1.8S SOLD,Nov 10,https://newyork.craigslist.org/stn/cto/d/staten-island-2004-nissan-sentra-18s/7228716777.html,"$1,000", (staten island),good,gas,109868,clean,automatic,sedan,mid-size
1997 Honda Civic Lx,Nov 10,https://newyork.craigslist.org/wch/cto/d/white-plains-1997-honda-civic-lx/7228684602.html,"$2,000", (White Plains),good,gas,148000,clean,automatic,sedan,compact
4x4 Ranger Super Cab * Auto transmission. Excellent condition,Nov 10,https://newyork.craigslist.org/mnh/cto/d/edison-4x4-ranger-super-cab-auto/7228636238.html,"$1,600","
pic
",,gas,,clean,automatic,,
Definitely van,Nov 10,https://newyork.craigslist.org/brx/cto/d/franklinville-definitely-van/7228551136.html,"$1,290","
pic
",,gas,,clean,automatic,,
1997 Lexus ES 300,Nov 10,https://newyork.craigslist.org/que/cto/d/jamaica-1997-lexus-es-300/7228550868.html,"$1,200","
pic
",good,gas,194651,clean,automatic,sedan,
1999 Cadillac Seville,Nov 10,https://newyork.craigslist.org/que/cto/d/astoria-1999-cadillac-seville/7228495345.html,"$2,000", (Astoria),good,gas,89000,clean,automatic,sedan,
vw bug beetle bus karman ghia kit car chassis,Nov 10,https://newyork.craigslist.org/lgi/cto/d/westbury-vw-bug-beetle-bus-karman-ghia/7228443813.html,"$1,000", (Westbury),,gas,,clean,manual,,
2000  Honda Civic,Nov 10,https://newyork.craigslist.org/wch/cto/d/white-plains-2000-honda-civic/7228442884.html,"$1,500","
pic
",good,gas,117589,clean,automatic,sedan,
2007 Chevy impala 145k miles,Nov 10,https://newyork.craigslist.org/que/cto/d/hollis-2007-chevy-impala-145k-miles/7228439685.html,"$1,000", (HOLLIS),,gas,145000,clean,automatic,,
"1991 Nissan Sentra SE-R, 33k miles!",Nov  9,https://newyork.craigslist.org/brk/cto/d/aurora-1991-nissan-sentra-se-33k-miles/7228353897.html,"$2,000", (Denver),new,gas,33000,clean,manual,coupe,compact
2004 Blue Ford Explorer,Nov  9,https://newyork.craigslist.org/que/cto/d/saint-albans-2004-blue-ford-explorer/7228306941.html,"$1,000", (Saint Albans),fair,gas,198000,clean,automatic,SUV,mid-size
2005 Audi A4 - Mechanic Special,Nov  9,https://newyork.craigslist.org/fct/cto/d/bridgeport-2005-audi-a4-mechanic-special/7228292662.html,"$1,500"," (Bridgeport, CT)",fair,gas,177587,clean,automatic,sedan,mid-size
2001 Toyota Camry,Nov  9,https://newyork.craigslist.org/que/cto/d/woodside-2001-toyota-camry/7228269855.html,"$1,500", (Queens),good,gas,,clean,automatic,,
2003 Saturn Wagon,Nov  9,https://newyork.craigslist.org/fct/cto/d/norwalk-2003-saturn-wagon/7228231291.html,"$1,600", (South Norwalk),good,gas,105564,clean,automatic,wagon,
2000 BMW 3 series,Nov  9,https://newyork.craigslist.org/lgi/cto/d/inwood-2000-bmw-series/7228213406.html,"$2,000", (Inwood),excellent,gas,180000,clean,automatic,truck,full-size
2001 honda cr-v ex,Nov  9,https://newyork.craigslist.org/que/cto/d/jamaica-2001-honda-cr-ex/7227905805.html,"$1,900", (Queens),good,gas,150500,clean,automatic,SUV,compact
2001 F150 XL,Nov  8,https://newyork.craigslist.org/wch/cto/d/yonkers-2001-f150-xl/7227659143.html,"$1,000", (Yonkers),good,gas,127000,clean,manual,pickup,
2000 Cadillac deville,Nov  8,https://newyork.craigslist.org/lgi/cto/d/elmont-2000-cadillac-deville/7227646894.html,"$1,500", (Elmont),,gas,,clean,automatic,,
1998 honda civic,Nov  8,https://newyork.craigslist.org/lgi/cto/d/elmont-1998-honda-civic/7227644476.html,"$1,200", (Elmont),,gas,,clean,automatic,,
2004 Acura MDX,Nov  8,https://newyork.craigslist.org/brk/cto/d/brooklyn-2004-acura-mdx/7227585973.html,"$1,800", (Brooklyn),good,gas,151000,clean,automatic,SUV,full-size
2004 Cadillac CTS 3.6L,Nov  8,https://newyork.craigslist.org/fct/cto/d/danbury-2004-cadillac-cts-36l/7227510098.html,"$1,700", (Danbury),,gas,,clean,automatic,,
2002 Ford windstar LX 115k miles,Nov  8,https://newyork.craigslist.org/que/cto/d/flushing-2002-ford-windstar-lx-115k/7227497655.html,"$1,700","
pic
",,gas,,clean,automatic,,
2005 jeep Grand Cherokee   129 k miles   ***need New engine *** $1990,Nov  8,https://newyork.craigslist.org/que/cto/d/maspeth-2005-jeep-grand-cherokee-129/7227464326.html,"$1,990", (Maspeth queens Ny),good,gas,129000,clean,automatic,,
1995 Chrysler Concorde low mileage car,Nov  8,https://newyork.craigslist.org/brk/cto/d/brooklyn-1995-chrysler-concorde-low/7227459627.html,"$1,700", (Brooklyn),excellent,gas,83000,clean,automatic,sedan,full-size
I buy cars vans SUVs cash on the spot,Nov  8,https://newyork.craigslist.org/brk/cto/d/brooklyn-buy-cars-vans-suvs-cash-on-the/7227451040.html,"$1,000","
",,gas,,clean,automatic,,
"Cash for Cars: Want Money Fast? We pay cash for used - $3,000",Nov  8,https://newyork.craigslist.org/que/cto/d/brooklyn-cash-for-cars-want-money-fast/7227437113.html,"$2,000", (All 5 boros li),,gas,,clean,automatic,,
1975 pontiac firebird,Nov  8,https://newyork.craigslist.org/que/cto/d/brooklyn-1975-pontiac-firebird/7227380081.html,"$2,000", (Brooklyn),fair,gas,,clean,automatic,coupe,mid-size
Classic Mercedes-Benz,Nov  8,https://newyork.craigslist.org/jsy/cto/d/spring-valley-classic-mercedes-benz/7227341985.html,"$1,600", (Spring valley),good,gas,136675,clean,automatic,sedan,mid-size
1990 Nissan Stanza GXE,Nov  7,https://newyork.craigslist.org/que/cto/d/fresh-meadows-1990-nissan-stanza-gxe/7227311390.html,"$1,000"," (Fresh Meadows/Flushing, Queens)",fair,gas,186000,clean,automatic,sedan,mid-size
Nissan Quest 2005,Nov  7,https://newyork.craigslist.org/brk/cto/d/brooklyn-nissan-quest-2005/7227199620.html,"$1,800","
pic
",,gas,,clean,other,,
2005 Acura TL,Nov  7,https://newyork.craigslist.org/que/cto/d/saint-albans-2005-acura-tl/7227157583.html,"$1,100","
pic
",,gas,202000,clean,automatic,,
2004 Honda Accord DX,Nov  7,https://newyork.craigslist.org/wch/cto/d/mahopac-2004-honda-accord-dx/7227059780.html,"$1,400", (Mahopac),fair,gas,310000,clean,manual,sedan,mid-size
I BUY CARS/TRUCKS/VANS,Nov  7,https://newyork.craigslist.org/que/cto/d/flushing-buy-cars-trucks-vans/7227042598.html,"$1,000","
pic
",,other,,clean,other,,
2008 Ford Fusion SE V6,Nov  7,https://newyork.craigslist.org/fct/cto/d/greenwich-2008-ford-fusion-se-v6/7226881769.html,"$1,900", (Greenwich/Port Chester Line),,gas,212000,clean,automatic,sedan,
2000 BMW 3 series,Nov  6,https://newyork.craigslist.org/lgi/cto/d/inwood-2000-bmw-series/7226770324.html,"$2,000", (Inwood),excellent,gas,180000,clean,automatic,sedan,full-size
2002 Ford windstar LX 115k miles,Nov  6,https://newyork.craigslist.org/que/cto/d/flushing-2002-ford-windstar-lx-115k/7226693486.html,"$1,700","
pic
",,gas,,clean,automatic,,
2004 Dodge stratus,Nov  6,https://newyork.craigslist.org/que/cto/d/corona-2004-dodge-stratus/7226661220.html,"$1,200", (corona),,gas,,clean,automatic,,
2002 honda civic,Nov  6,https://newyork.craigslist.org/wch/cto/d/bronx-2002-honda-civic/7226646755.html,"$1,500", (Bronx),excellent,gas,212000,clean,automatic,,
2002 Cadillac Deville,Nov  6,https://newyork.craigslist.org/wch/cto/d/yonkers-2002-cadillac-deville/7226632243.html,"$2,000", (Yonkers),good,gas,63000,clean,automatic,sedan,full-size
DODGE RAM VAN FOR SALE,Nov  6,https://newyork.craigslist.org/mnh/cto/d/new-york-dodge-ram-van-for-sale/7226604423.html,"$1,800", (Midtown),fair,gas,116000,clean,other,,
2004 Honda Civic EX,Nov  6,https://newyork.craigslist.org/que/cto/d/jamaica-2004-honda-civic-ex/7226581135.html,"$2,000", (Jamaica),fair,gas,,clean,automatic,,
1994 Honda Accord drives great!,Nov  6,https://newyork.craigslist.org/stn/cto/d/staten-island-1994-honda-accord-drives/7226560185.html,"$1,400","
pic
",good,gas,,clean,automatic,,
2006  Ford bus,Nov  6,https://newyork.craigslist.org/brk/cto/d/brooklyn-2006-ford-bus/7226542526.html,"$1,450", (Brooklyn),,diesel,,clean,automatic,,
2001 Nissan Pathfinder for sale,Nov  6,https://newyork.craigslist.org/brx/cto/d/bronx-2001-nissan-pathfinder-for-sale/7226432976.html,"$1,500", (Bronx ny),fair,gas,150000,clean,automatic,,
2000 Toyota Camry CE,Nov  6,https://newyork.craigslist.org/brk/cto/d/brooklyn-2000-toyota-camry-ce/7226422645.html,"$1,800", (Brooklyn),excellent,gas,203500,clean,manual,sedan,full-size
Vintage Mercury Tracer,Nov  6,https://newyork.craigslist.org/mnh/cto/d/new-york-vintage-mercury-tracer/7226382329.html,"$1,200", (Midtown East),good,gas,108000,clean,manual,hatchback,compact
2005 convertible Chrysler PT cruiser,Nov  6,https://newyork.craigslist.org/brk/cto/d/brooklyn-2005-convertible-chrysler-pt/7226335667.html,"$1,800", (Brooklyn),good,gas,126805,clean,automatic,convertible,full-size
2005 Ford F-150 KeylessEntry V8,Nov  5,https://newyork.craigslist.org/brk/cto/d/brooklyn-2005-ford-150-keylessentry-v8/7226178198.html,"$1,600","
pic
",,gas,,clean,automatic,,
1999 Subaru Forester S,Nov  5,https://newyork.craigslist.org/stn/cto/d/staten-island-1999-subaru-forester/7226177327.html,"$2,000", (BEST OFFER TAKES IT. (347)372-4289),good,gas,150999,clean,automatic,hatchback,full-size
Chrysler Town & Country Limited,Nov  5,https://newyork.craigslist.org/brx/cto/d/bronx-chrysler-town-country-limited/7226102828.html,"$2,000", (Bronx),good,gas,150220,clean,automatic,mini-van,full-size
I BUY CARS/TRUCKS/VANS,Nov  5,https://newyork.craigslist.org/que/cto/d/flushing-buy-cars-trucks-vans/7226038941.html,"$1,000", (Flushing),,gas,,clean,automatic,,
Jaguar s type 3.0,Nov  5,https://newyork.craigslist.org/que/cto/d/jamaica-jaguar-type-30/7226001720.html,"$1,800", (Queens),good,gas,178000,clean,automatic,sedan,mid-size
BEAUTIFUL BEETLE FOR SALE!!!,Nov  5,https://newyork.craigslist.org/lgi/cto/d/cedarhurst-beautiful-beetle-for-sale/7225981208.html,"$2,000", (Cedarhurst),good,gas,135000,clean,automatic,,
2003 Ford Explorer XLT,Nov  5,https://newyork.craigslist.org/que/cto/d/flushing-2003-ford-explorer-xlt/7225970803.html,"$2,000"," (Queens, NY)",fair,gas,140000,clean,automatic,SUV,
KIA OPTIMA,Nov  5,https://newyork.craigslist.org/wch/cto/d/tallman-kia-optima/7225938106.html,"$1,999", (Suffern),good,gas,190120,clean,manual,sedan,full-size
2003 Passat Turbo Sedan,Nov  5,https://newyork.craigslist.org/wch/cto/d/crompond-2003-passat-turbo-sedan/7225760826.html,"$1,975", (Westchester),,gas,,clean,automatic,,
2007 SATURN ION A GOOD CHEEP CAR,Nov  5,https://newyork.craigslist.org/lgi/cto/d/ronkonkoma-2007-saturn-ion-good-cheep/7225754164.html,"$1,599", (RONKONKOMA),good,gas,,clean,automatic,,
Florida Dealer Tags,Nov  4,https://newyork.craigslist.org/que/cto/d/florida-dealer-tags/7225591669.html,"$1,800","
",,gas,,clean,automatic,,
NISSAN XTERRA 5 sp,Nov  4,https://newyork.craigslist.org/que/cto/d/jamaica-nissan-xterra-sp/7225567091.html,"$1,500", (Jamica),good,gas,243000,clean,manual,SUV,full-size
2007 Kia Spectra EX $1050,Nov  4,https://newyork.craigslist.org/que/cto/d/whitestone-2007-kia-spectra-ex-1050/7225566060.html,"$1,050", (Whitestone),fair,gas,102000,clean,automatic,,
2003 Honda EX v6 Coupe,Nov  4,https://newyork.craigslist.org/brx/cto/d/bronx-2003-honda-ex-v6-coupe/7225512480.html,"$1,900", (Country club),good,gas,,clean,automatic,coupe,mid-size
Honda civic,Nov  4,https://newyork.craigslist.org/mnh/cto/d/new-york-honda-civic/7225495310.html,"$1,659", (Greenwich Village),,gas,,clean,manual,,
Honda Odyssey 2002,Nov  4,https://newyork.craigslist.org/que/cto/d/flushing-honda-odyssey-2002/7225479966.html,"$1,500", (Flushing),excellent,gas,215000,clean,automatic,mini-van,
2008 Ford Fusion SE V6,Nov  4,https://newyork.craigslist.org/fct/cto/d/greenwich-2008-ford-fusion-se-v6/7225450660.html,"$1,900", (Greenwich/Port Chester Line),,gas,212000,clean,automatic,sedan,
Toyota Camry,Nov  4,https://newyork.craigslist.org/brk/cto/d/brooklyn-toyota-camry/7225441280.html,"$2,000", (Kensington),good,gas,177000,clean,automatic,,
2001 Infiniti i30 FOR SALE,Nov  4,https://newyork.craigslist.org/wch/cto/d/yorktown-heights-2001-infiniti-i30-for/7225288653.html,"$1,500", (Yorktown Heights),fair,gas,216000,clean,automatic,sedan,mid-size
2005 Subaru Impreza 2.5rs wagon,Nov  4,https://newyork.craigslist.org/stn/cto/d/staten-island-2005-subaru-impreza-25rs/7225242072.html,"$1,200", (Staten island),,gas,167000,clean,manual,,
2008 Buick  All the options. Well maintained and clean. Good tires,Nov  3,https://newyork.craigslist.org/mnh/cto/d/new-york-2008-buick-all-the-options/7225138296.html,"$1,000","
pic
",excellent,gas,,clean,automatic,SUV,full-size
I BUY CARS/TRUCKS/VANS,Nov  3,https://newyork.craigslist.org/brk/cto/d/flushing-buy-cars-trucks-vans/7225121296.html,"$1,000","
pic
",,other,,clean,other,,
Subaru Outback 2005,Nov  3,https://newyork.craigslist.org/wch/cto/d/new-rochelle-subaru-outback-2005/7225112821.html,"$1,200", (New Rochelle),fair,gas,180000,clean,automatic,hatchback,mid-size
1996 honda civic lx 90k,Nov  3,https://newyork.craigslist.org/brk/cto/d/brooklyn-1996-honda-civic-lx-90k/7224961596.html,"$1,700", (Brooklyn),,gas,90000,clean,automatic,,
"2009 Nissan Sentra 116289 Miles, TO FIX IT",Nov  3,https://newyork.craigslist.org/que/cto/d/jamaica-2009-nissan-sentra-miles-to-fix/7224983713.html,"$1,200", (Jamaica NY),fair,gas,67890,clean,automatic,sedan,sub-compact
2007 Nissan Versa,Nov  3,https://newyork.craigslist.org/que/cto/d/queens-village-2007-nissan-versa/7224783758.html,"$1,700", (Queens village),excellent,gas,,clean,automatic,,compact
We Pay Top Dollar For Minivans,Nov  3,https://newyork.craigslist.org/brk/cto/d/brooklyn-we-pay-top-dollar-for-minivans/7224778801.html,"$2,000", (Sheepshead Bay Brooklyn),,gas,135000,clean,automatic,mini-van,
2004 Acura RL .. 3.5L .. 125k miles,Nov  3,https://newyork.craigslist.org/brk/cto/d/brooklyn-2004-acura-rl-35l-125k-miles/7224731280.html,"$1,950", (Brooklyn),,gas,,clean,automatic,,
2000 BMW 3 series,Nov  3,https://newyork.craigslist.org/lgi/cto/d/inwood-2000-bmw-series/7224717025.html,"$2,000", (Inwood),excellent,gas,180000,clean,automatic,sedan,full-size
"1998 Toyota Corolla Ce, 4 cylinder gas saver.",Nov  3,https://newyork.craigslist.org/wch/cto/d/bronx-1998-toyota-corolla-ce-cylinder/7224716860.html,"$1,695","
pic
",,gas,,clean,automatic,sedan,
Dodge avenger,Nov  3,https://newyork.craigslist.org/lgi/cto/d/greenwich-dodge-avenger/7224705727.html,"$1,900", (Amityville),good,gas,220000,clean,automatic,sedan,mid-size
$1299 OBO 07 Dodge Grand Caravan SE,Nov  3,https://newyork.craigslist.org/brk/cto/d/brooklyn-1299-obo-07-dodge-grand/7224658802.html,"$1,299","
pic
",,gas,,clean,automatic,van,
2000 Honda accord,Nov  2,https://newyork.craigslist.org/brk/cto/d/brooklyn-2000-honda-accord/7224531694.html,"$1,500","
pic
",,gas,,clean,automatic,,
1998 jeep grand Cherokee,Nov  2,https://newyork.craigslist.org/que/cto/d/jamaica-1998-jeep-grand-cherokee/7224512724.html,"$1,300", (Jamaica),,gas,,clean,automatic,SUV,
2000 JEEP CHEROKEE CLASSIC,Nov  2,https://newyork.craigslist.org/brk/cto/d/brooklyn-2000-jeep-cherokee-classic/7224347173.html,"$1,050", (Greenpoint / Brooklyn),,gas,168157,clean,automatic,SUV,compact
2000 gmc van,Nov  2,https://newyork.craigslist.org/brk/cto/d/brooklyn-2000-gmc-van/7224341397.html,"$1,300", (Brooklyn),good,gas,,clean,automatic,van,
Nissan X-Terra -917-858-6258,Nov  2,https://newyork.craigslist.org/lgi/cto/d/west-hempstead-nissan-terra/7224277737.html,"$1,500", (West Hempstead),fair,gas,148000,clean,other,SUV,full-size
Nice 2006 pt cruiser,Nov  2,https://newyork.craigslist.org/fct/cto/d/new-fairfield-nice-2006-pt-cruiser/7224187720.html,"$1,300", (New Fairfield),good,gas,,clean,automatic,convertible,mid-size
Mercedes E320 2002 for sale,Nov  2,https://newyork.craigslist.org/brx/cto/d/bronx-mercedes-for-sale/7224113714.html,"$1,500", (Bronx),,gas,190944,missing,automatic,sedan,
